A2M	NM_000014.4
RUNDC3A	NM_001144825.1
RUNDC3B	NM_138290.2
RUNX1	NM_001754.4
RUNX2	NM_001024630.3
RUNX3	NM_001031680.2
RUVBL1	NM_003707.2
RXFP2	NM_130806.3
RXRG	NM_006917.4
RYR1	NM_000540.2
RYR2	NM_001035.2
RYR3	NM_001036.4
S1PR1	NM_001400.4
S1PR2	NM_004230.3
S1PR3	NM_005226.3
S1PR4	NM_003775.3
SAA1	NM_000331.4
SAA2	NM_030754.4
SAA4	NM_006512.3
SACS	NM_014363.5
SAFB2	NM_014649.2
SAG	NM_000541.4
SALL1	NM_002968.2
SALL2	NM_005407.2
SALL4	NM_020436.3
SAMD11	NM_152486.2
SAMD9	NM_017654.3
SAMD9L	NM_152703.3
SAMHD1	NM_015474.3
SAR1B	NM_001033503.2
SARDH	NM_007101.3
SARS	NM_006513.3
SARS2	NM_017827.3
SART1	NM_005146.4
SART3	NM_014706.3
SASH1	NM_015278.3
SASS6	NM_194292.2
SATB2	NM_015265.3
SATL1	NM_001012980.2
SBDS	NM_016038.2
SBF1	NM_002972.3
SBF2	NM_030962.3
SBNO1	NM_001167856.1
SC5D	NM_006918.4
SCARB1	NM_005505.4
SCARB2	NM_005506.3
SCLT1	NM_144643.3
SCN10A	NM_006514.3
SCN11A	NM_014139.2
SCN1A	NM_001165963.1
SCN1B	NM_001037.4
SCN1B	NM_199037.3
SCN2A	NM_021007.2
SCN2B	NM_004588.4
SCN3A	NM_006922.3
SCN3B	NM_018400.3
SCN4A	NM_000334.4
SCN4B	NM_174934.3
SCN5A	NM_198056.2
SCN8A	NM_014191.3
SCN9A	NM_002977.3
SCNM1	NM_024041.3
SCNN1A	NM_001038.5
SCNN1B	NM_000336.2
SCNN1G	NM_001039.3
SCO1	NM_004589.3
SCO2	NM_005138.2
SCP2	NM_002979.4
SCRIB	NM_182706.4
SCRN1	NM_001145514.1
SCUBE2	NM_020974.2
SCYL1	NM_020680.3
SDC2	NM_002998.3
SDC3	NM_014654.3
SDCCAG8	NM_006642.3
SDHA	NM_004168.3
SDHAF1	NM_001042631.2
SDHAF2	NM_017841.2
SDHB	NM_003000.2
SDHC	NM_001035511.1
SDHC	NM_003001.3
SDHD	NM_003002.3
SDR39U1	NM_020195.2
SEC16A	NM_014866.1
SEC23A	NM_006364.2
SEC23B	NM_006363.4
SEC24B	NM_006323.3
SEC24D	NM_014822.2
SEC31A	NM_001077206.2
SEC61A1	NM_013336.3
SEC63	NM_007214.4
SECISBP2	NM_024077.4
SEL1L	NM_005065.5
SELE	NM_000450.2
SELL	NM_000655.4
SELP	NM_003005.3
SELPLG	NM_003006.4
SEMA3A	NM_006080.2
SEMA3C	NM_006379.3
SEMA3D	NM_152754.2
SEMA3E	NM_012431.2
SEMA3F	NM_004186.3
SEMA4A	NM_022367.3
SEMA4G	NM_017893.3
SEMA5A	NM_003966.2
SEMA6B	NM_032108.3
SEMA6D	NM_153618.1
SEMA7A	NM_003612.3
SEPN1	NM_020451.2
SEPP1	NM_005410.2
SEPSECS	NM_016955.3
SEPT12	NM_144605.4
SEPT9	NM_006640.4
SERAC1	NM_032861.3
SERPINA1	NM_000295.4
SERPINA10	NM_016186.2
SERPINA12	NM_173850.3
SERPINA3	NM_001085.4
SERPINA5	NM_000624.5
SERPINA6	NM_001756.3
SERPINA7	NM_000354.5
SERPINB11	NM_080475.3
SERPINB3	NM_006919.2
SERPINB4	NM_002974.3
SERPINB5	NM_002639.4
SERPINB6	NM_004568.5
SERPINB7	NM_003784.3
SERPINB8	NM_198833.1
SERPINC1	NM_000488.3
SERPIND1	NM_000185.3
SERPINE1	NM_000602.4
SERPINF1	NM_002615.5
SERPINF2	NM_000934.3
SERPING1	NM_000062.2
SERPINH1	NM_001235.3
SERPINI1	NM_005025.4
SERPINI2	NM_006217.4
SESN2	NM_031459.4
SET	NM_001122821.1
SETBP1	NM_015559.2
SETD1A	NM_014712.2
SETD1B	NM_015048.1
SETD2	NM_014159.6
SETD5	NM_001080517.2
SETD9	NM_153706.3
SETDB1	NM_001145415.1
SETDB2	NM_031915.2
SETX	NM_015046.5
SEZ6	NM_178860.4
SEZ6L	NM_021115.4
SEZ6L2	NM_201575.3
SF3B4	NM_005850.4
SFRP1	NM_003012.4
SFRP4	NM_003014.3
SFTPA1	NM_005411.4
SFTPA2	NM_001098668.2
SFTPB	NM_198843.2
SFTPC	NM_003018.3
SFTPD	NM_003019.4
SFXN4	NM_213649.1
SGCA	NM_000023.2
SGCB	NM_000232.4
SGCD	NM_000337.5
SGCD	NM_172244.2
SGCE	NM_003919.2
SGCG	NM_000231.2
SGK1	NM_001143676.1
SGOL1	NM_001199252.1
SGPP2	NM_152386.2
SGSH	NM_000199.3
SGSM2	NM_014853.2
SGSM3	NM_015705.5
SH2B1	NM_001145795.1
SH2B1	NM_001145797.1
SH2B3	NM_005475.2
SH2D1A	NM_002351.4
SH3BP2	NM_003023.4
SH3BP4	NM_014521.2
SH3BP5	NM_004844.4
SH3GL1	NM_003025.3
SH3PXD2B	NM_001017995.2
SH3TC2	NM_024577.3
SHANK1	NM_016148.2
SHARPIN	NM_030974.3
SHBG	NM_001040.4
SHFM1	NM_006304.1
SHH	NM_000193.2
SHKBP1	NM_138392.3
SHMT1	NM_004169.4
SHOC2	NM_007373.3
SHOX	NM_000451.3
SHOX	NM_006883.2
SHOX2	NM_003030.4
SHPK	NM_013276.2
SHPRH	NM_001042683.2
SHROOM1	NM_001172700.1
SHROOM3	NM_020859.3
SHROOM4	NM_020717.3
SI	NM_001041.3
SIAE	NM_170601.4
SIGIRR	NM_021805.2
SIGLEC1	NM_023068.3
SIGLEC12	NM_053003.3
SIGMAR1	NM_005866.3
SIK1	NM_173354.3
SIL1	NM_022464.4
SIM1	NM_005068.2
SIN3A	NM_001145358.1
SIPA1	NM_153253.29
SIPA1L1	NM_015556.2
SIPA1L3	NM_015073.2
SIRPA	NM_001040022.1
SIRPB1	NM_006065.3
SIRT1	NM_012238.4
SIRT3	NM_012239.5
SIRT6	NM_016539.2
SIX1	NM_005982.3
SIX2	NM_016932.4
SIX3	NM_005413.3
SIX5	NM_175875.4
SIX6	NM_007374.2
SKA1	NM_001039535.2
SKI	NM_003036.3
SKIL	NM_005414.4
SKIV2L	NM_006929.4
SLBP	NM_006527.2
SLC10A1	NM_003049.3
SLC10A2	NM_000452.2
SLC11A1	NM_000578.3
SLC11A2	NM_000617.2
SLC11A2	NM_001174125.1
SLC12A1	NM_000338.2
SLC12A2	NM_001046.2
SLC12A3	NM_000339.2
SLC12A5	NM_020708.4
SLC12A6	NM_133647.1
SLC13A1	NM_022444.3
SLC13A2	NM_001145975.1
SLC13A5	NM_177550.4
SLC14A1	NM_015865.6
SLC14A2	NM_007163.3
SLC15A1	NM_005073.3
SLC15A4	NM_145648.3
SLC16A1	NM_003051.3
SLC16A11	NM_153357.1
SLC16A12	NM_213606.3
SLC16A2	NM_006517.4
SLC16A8	NM_013356.2
SLC16A9	NM_194298.2
SLC17A1	NM_005074.3
SLC17A3	NM_006632.3
SLC17A5	NM_012434.4
SLC17A8	NM_139319.2
SLC17A9	NM_022082.3
SLC18A1	NM_003053.3
SLC18A2	NM_003054.4
SLC19A1	NM_194255.2
SLC19A2	NM_006996.2
SLC19A3	NM_025243.3
SLC1A1	NM_004170.5
SLC1A2	NM_004171.3
SLC1A3	NM_004172.4
SLC1A4	NM_003038.4
SLC20A2	NM_006749.4
SLC22A1	NM_003057.2
SLC22A11	NM_018484.2
SLC22A12	NM_144585.3
SLC22A14	NM_004803.3
SLC22A2	NM_003058.3
SLC22A23	NM_015482.1
SLC22A25	NM_199352.3
SLC22A3	NM_021977.3
SLC22A4	NM_003059.2
SLC22A5	NM_003060.3
SLC22A6	NM_004790.4
SLC22A9	NM_080866.2
SLC23A1	NM_005847.4
SLC24A1	NM_004727.2
SLC24A2	NM_020344.3
SLC24A4	NM_153646.3
SLC24A5	NM_205850.2
SLC25A1	NM_005984.4
SLC25A12	NM_003705.4
SLC25A13	NM_014251.2
SLC25A15	NM_014252.3
SLC25A16	NM_152707.3
SLC25A19	NM_021734.4
SLC25A20	NM_000387.5
SLC25A22	NM_024698.5
SLC25A3	NM_005888.3
SLC25A32	NM_030780.4
SLC25A38	NM_017875.2
SLC25A39	NM_001143780.1
SLC25A4	NM_001151.3
SLC25A40	NM_018843.3
SLC25A42	NM_178526.4
SLC25A43	NM_145305.2
SLC25A46	NM_138773.2
SLC26A1	NM_213613.3
SLC26A2	NM_000112.3
SLC26A3	NM_000111.2
SLC26A4	NM_000441.1
SLC26A5	NM_198999.2
SLC26A6	NM_022911.2
SLC26A8	NM_052961.3
SLC26A9	NM_052934.3
SLC27A4	NM_005094.3
SLC27A5	NM_012254.2
SLC28A1	NM_004213.4
SLC28A2	NM_004212.3
SLC28A3	NM_022127.2
SLC29A1	NM_001078177.1
SLC29A2	NM_001532.2
SLC29A3	NM_018344.5
SLC29A4	NM_153247.2
SLC2A1	NM_006516.2
SLC2A10	NM_030777.3
SLC2A2	NM_000340.1
SLC2A3	NM_006931.2
SLC2A4	NM_001042.2
SLC2A5	NM_003039.2
SLC2A9	NM_020041.2
SLC30A10	NM_018713.2
SLC30A2	NM_001004434.2
SLC30A3	NM_003459.4
SLC30A5	NM_022902.4
SLC30A6	NM_001193513.1
SLC30A8	NM_173851.2
SLC30A9	NM_006345.3
SLC31A1	NM_001859.3
SLC33A1	NM_004733.3
SLC34A1	NM_003052.4
SLC34A2	NM_006424.2
SLC34A3	NM_080877.2
SLC35A1	NM_006416.4
SLC35A2	NM_001042498.2
SLC35A3	NM_012243.2
SLC35B2	NM_178148.3
SLC35C1	NM_018389.4
SLC35D1	NM_015139.2
SLC35D3	NM_001008783.2
SLC35F5	NM_025181.3
SLC35G2	NM_001097599.1
SLC35G5	NM_054028.1
SLC36A2	NM_181776.2
SLC37A3	NM_032295.3
SLC38A8	NM_001080442.2
SLC39A13	NM_152264.4
SLC39A14	NM_015359.4
SLC39A4	NM_130849.3
SLC39A5	NM_173596.2
SLC39A8	NM_022154.5
SLC3A1	NM_000341.3
SLC40A1	NM_014585.5
SLC41A1	NM_173854.5
SLC44A2	NM_020428.3
SLC44A4	NM_025257.2
SLC45A2	NM_016180.4
SLC47A1	NM_018242.2
SLC47A2	NM_152908.3
SLC48A1	NM_017842.2
SLC4A1	NM_000342.3
SLC4A10	NM_022058.3
SLC4A11	NM_032034.3
SLC4A3	NM_201574.2
SLC4A4	NM_003759.3
SLC4A7	NM_003615.4
SLC52A1	NM_017986.3
SLC52A2	NM_024531.4
SLC52A3	NM_033409.3
SLC5A1	NM_000343.3
SLC5A11	NM_052944.4
SLC5A2	NM_003041.3
SLC5A5	NM_000453.2
SLC5A7	NM_021815.3
SLC5A9	NM_001135181.1
SLC6A1	NM_003042.3
SLC6A11	NM_014229.1
SLC6A12	NM_003044.4
SLC6A13	NM_001190997.2
SLC6A15	NM_182767.5
SLC6A17	NM_001010898.2
SLC6A18	NM_182632.2
SLC6A19	NM_001003841.2
SLC6A2	NM_001043.3
SLC6A20	NM_020208.3
SLC6A3	NM_001044.4
SLC6A4	NM_001045.5
SLC6A5	NM_004211.3
SLC6A8	NM_005629.3
SLC7A10	NM_019849.2
SLC7A14	NM_020949.2
SLC7A3	NM_001048164.2
SLC7A5	NM_003486.5
SLC7A6	NM_001076785.2
SLC7A6OS	NM_032178.2
SLC7A7	NM_001126106.2
SLC7A9	NM_014270.4
SLC8A1	NM_021097.2
SLC8B1	NM_024959.2
SLC9A1	NM_003047.4
SLC9A3	NM_004174.2
SLC9A3R1	NM_004252.4
SLC9A4	NM_001011552.3
SLC9A6	NM_001042537.1
SLC9A6	NM_006359.2
SLC9A9	NM_173653.3
SLCO1A2	NM_021094.3
SLCO1B1	NM_006446.4
SLCO1B3	NM_019844.3
SLCO1B7	NM_001009562.4
SLCO1C1	NM_001145944.1
SLCO2A1	NM_005630.2
SLCO2B1	NM_007256.4
SLCO4A1	NM_016354.3
SLFN14	NM_001129820.1
SLFN5	NM_144975.3
SLIT2	NM_004787.2
SLIT3	NM_003062.3
SLITRK1	NM_052910.2
SLITRK5	NM_015567.1
SLITRK6	NM_032229.2
SLK	NM_014720.3
SLMAP	NM_007159.3
SLMO2	NM_016045.2
SLURP1	NM_020427.2
SLX4	NM_032444.2
SMAD1	NM_005900.2
SMAD2	NM_005901.5
SMAD3	NM_005902.3
SMAD4	NM_005359.5
SMAD6	NM_005585.4
SMAD7	NM_005904.3
SMAD9	NM_001127217.2
SMARCA1	NM_003069.4
SMARCA2	NM_003070.4
SMARCA4	NM_001128849.1
SMARCAD1	NM_001128429.2
SMARCAD1	NM_001254949.1
SMARCAL1	NM_014140.3
SMARCB1	NM_003073.3
SMARCC1	NM_003074.3
SMARCC2	NM_001130420.1
SMARCC2	NM_003075.3
SMARCE1	NM_003079.4
SMC1A	NM_006306.3
SMC3	NM_005445.3
SMC5	NM_015110.3
SMCHD1	NM_015295.2
SMG6	NM_017575.4
SMG9	NM_019108.2
SMIM1	NM_001163724.2
SMN1	NM_000344.3
SMN2	NM_017411.3
SMO	NM_005631.4
SMOC1	NM_001034852.2
SMOC2	NM_022138.2
SMPD1	NM_000543.4
SMPX	NM_014332.2
SMS	NM_004595.4
SMTNL1	NM_001105565.2
SMYD3	NM_022743.2
SNAI1	NM_005985.3
SNAI2	NM_003068.4
SNAI3	NM_178310.3
SNAP25	NM_003081.3
SNAP25	NM_130811.2
SNAP29	NM_004782.3
SNAPC4	NM_003086.2
SNAPC5	NM_006049.2
SNCA	NM_000345.3
SNCAIP	NM_005460.2
SNCB	NM_001001502.1
SND1	NM_014390.2
SNIP1	NM_024700.3
SNRK	NM_017719.4
SNRNP200	NM_014014.4
SNRPE	NM_003094.3
SNTA1	NM_003098.2
SNTG1	NM_018967.3
SNUPN	NM_005701.3
SNX10	NM_001199835.1
SNX14	NM_153816.5
SNX19	NM_014758.2
SNX27	NM_030918.5
SNX31	NM_152628.3
SNX5	NM_014426.3
SOAT1	NM_003101.5
SOAT2	NM_003578.3
SOBP	NM_018013.3
SOCS3	NM_003955.4
SOCS4	NM_199421.1
SOD1	NM_000454.4
SOD2	NM_000636.2
SOD3	NM_003102.2
SOGA3	NM_001012279.2
SOHLH1	NM_001101677.1
SOHLH2	NM_017826.2
SON	NM_032195.2
SORBS1	NM_001034954.1
SORBS2	NM_001270771.1
SORCS1	NM_001013031.2
SORL1	NM_003105.5
SORT1	NM_002959.5
SOS1	NM_005633.3
SOS2	NM_006939.2
SOST	NM_025237.2
SOX10	NM_006941.3
SOX11	NM_003108.3
SOX17	NM_022454.3
SOX18	NM_018419.2
SOX2	NM_003106.3
SOX3	NM_005634.2
SOX5	NM_006940.4
SOX5	NM_152989.3
SOX6	NM_033326.3
SOX7	NM_031439.3
SOX9	NM_000346.3
SP100	NM_001080391.1
SP110	NM_004509.3
SP140	NM_007237.4
SP4	NM_003112.3
SP7	NM_001173467.2
SPAG1	NM_172218.2
SPAG16	NM_024532.4
SPAG17	NM_206996.2
SPAG5	NM_006461.3
SPAG9	NM_001130528.2
SPARC	NM_003118.3
SPAST	NM_014946.3
SPATA13	NM_001166271.2
SPATA16	NM_031955.5
SPATA21	NM_198546.1
SPATA32	NM_152343.2
SPATA5	NM_145207.2
SPATA5L1	NM_024063.2
SPATA7	NM_018418.4
SPC24	NM_182513.2
SPDYC	NM_001008778.1
SPECC1L	NM_015330.4
SPEG	NM_005876.4
SPEN	NM_015001.2
SPERT	NM_152719.2
SPG11	NM_025137.3
SPG20	NM_015087.4
SPG21	NM_016630.6
SPG7	NM_003119.3
SPICE1	NM_144718.3
SPINK1	NM_003122.4
SPINK5	NM_006846.3
SPINT2	NM_021102.3
SPOCK1	NM_004598.3
SPOP	NM_001007226.1
SPP1	NM_001040058.1
SPP2	NM_006944.2
SPPL2C	NM_175882.2
SPR	NM_003124.4
SPRED1	NM_152594.2
SPRN	NM_001012508.3
SPRTN	NM_032018.5
SPRY1	NM_001258038.1
SPRY2	NM_005842.2
SPRY4	NM_030964.3
SPTA1	NM_003126.2
SPTAN1	NM_001130438.2
SPTB	NM_000347.5
SPTBN2	NM_006946.2
SPTBN5	NM_016642.3
SPTLC1	NM_006415.3
SPTLC2	NM_004863.3
SPTLC3	NM_018327.2
SQLE	NM_003129.3
SQSTM1	NM_003900.4
SRA1	NM_001035235.3
SRC	NM_005417.4
SRCAP	NM_006662.2
SRCIN1	NM_025248.2
SRD5A3	NM_024592.4
SREBF1	NM_004176.4
SREBF2	NM_004599.3
SREK1	NM_001077199.2
SRGAP1	NM_020762.2
SRGAP3	NM_014850.3
SRI	NM_003130.3
SRP72	NM_006947.3
SRPK2	NM_182691.2
SRPK3	NM_014370.3
SRPX2	NM_014467.2
SRRM2	NM_016333.3
SRSF2	NM_003016.4
SRSF7	NM_001031684.2
SRY	NM_003140.2
SS18L1	NM_198935.2
SSH1	NM_018984.3
SSH2	NM_033389.3
SSR4	NM_001204526.1
SSTR5	NM_001053.3
SSX1	NM_005635.3
ST14	NM_021978.3
ST3GAL3	NM_006279.3
ST3GAL5	NM_003896.3
ST3GAL6	NM_006100.3
ST5	NM_005418.3
ST6GALNAC5	NM_030965.1
ST7	NM_021908.2
ST8SIA2	NM_006011.3
STAB2	NM_017564.9
STAC2	NM_198993.3
STAC3	NM_145064.2
STAG1	NM_005862.2
STAG2	NM_001042749.2
STAG3	NM_012447.3
STAMBP	NM_006463.4
STAP1	NM_012108.2
STAR	NM_000349.2
STARD10	NM_006645.2
STARD13	NM_178006.3
STARD3	NM_006804.3
STARD9	NM_020759.2
STAT1	NM_007315.3
STAT2	NM_005419.3
STAT3	NM_139276.2
STAT4	NM_003151.3
STAT5B	NM_012448.3
STEAP3	NM_001008410.1
STEAP4	NM_024636.3
STH	NM_001007532.2
STIL	NM_003035.2
STIM1	NM_003156.3
STK10	NM_005990.3
STK11	NM_000455.4
STK36	NM_015690.4
STK38L	NM_015000.3
STK4	NM_006282.2
STON2	NM_001256430.1
STOX1	NM_152709.4
STRA6	NM_022369.3
STRADA	NM_001003787.2
STRC	NM_153700.2
STS	NM_000351.4
STT3A	NM_001278503.1
STT3B	NM_178862.2
STUB1	NM_005861.3
STX11	NM_003764.3
STX1A	NM_004603.3
STX1B	NM_052874.4
STX3	NM_004177.4
STX7	NM_003569.2
STXBP1	NM_003165.3
STXBP2	NM_006949.3
STXBP3	NM_007269.2
STXBP5	NM_001127715.2
STXBP5L	NM_014980.2
STYXL1	NM_016086.2
SUCLA2	NM_003850.2
SUCLG1	NM_003849.3
SUCO	NM_014283.4
SUFU	NM_016169.3
SUGCT	NM_024728.2
SULF1	NM_001128205.1
SULF2	NM_001161841.1
SULT1A1	NM_001055.3
SULT1A3	NM_177552.3
SULT1B1	NM_014465.3
SULT1C2	NM_001056.3
SULT1C3	NM_001008743.1
SULT1E1	NM_005420.2
SULT2A1	NM_003167.3
SULT2B1	NM_177973.1
SULT4A1	NM_014351.3
SUMF1	NM_182760.3
SUMO4	NM_001002255.1
SUN1	NM_001130965.2
SUN2	NM_015374.2
SUOX	NM_000456.2
SUPT16H	NM_007192.3
SUPT5H	NM_003169.3
SURF1	NM_003172.3
SUV420H1	NM_017635.4
SV2A	NM_014849.4
SV2B	NM_014848.4
SVEP1	NM_153366.3
SVIL	NM_003174.3
SYCE1	NM_130784.2
SYCP3	NM_153694.4
SYK	NM_003177.6
SYN1	NM_133499.2
SYN3	NM_003490.3
SYNCRIP	NM_001159673.1
SYNE1	NM_033071.3
SYNE2	NM_182914.2
SYNE4	NM_001039876.1
SYNGAP1	NM_006772.2
SYNGR1	NM_004711.4
SYNGR1	NM_145738.2
SYNJ1	NM_003895.3
SYNPO	NM_007286.5
SYP	NM_003179.2
SYPL2	NM_001040709.1
SYT1	NM_005639.2
SYT14	NM_001146261.2
SYT2	NM_177402.4
SYVN1	NM_032431.2
SZT2	NM_015284.3
T	NM_003181.3
TAAR1	NM_138327.1
TAAR2	NM_001033080.1
TAAR9	NM_175057.3
TAB2	NM_015093.5
TAC3	NM_013251.3
TACC2	NM_206862.3
TACO1	NM_016360.3
TACR3	NM_001059.2
TACSTD2	NM_002353.2
TAF1	NM_004606.4
TAF13	NM_005645.3
TAF15	NM_139215.2
TAF1C	NM_005679.3
TAF1L	NM_153809.2
TAF2	NM_003184.3
TAF4B	NM_005640.2
TAF6	NM_005641.3
TAF7L	NM_024885.3
TAF9	NM_001015892.1
TAF9B	NM_015975.4
TAGAP	NM_054114.4
TALDO1	NM_006755.1
TANC1	NM_033394.2
TANC2	NM_025185.3
TANGO2	NM_152906.5
TAP1	NM_000593.5
TAP2	NM_000544.3
TAPBP	NM_003190.4
TAPT1	NM_153365.2
TARBP1	NM_005646.3
TARDBP	NM_007375.3
TARS2	NM_025150.4
TAS1R1	NM_138697.3
TAS1R2	NM_152232.2
TAS1R3	NM_152228.1
TAS2R16	NM_016945.2
TAS2R19	NM_176888.2
TAS2R3	NM_016943.2
TAS2R30	NM_001097643.1
TAS2R31	NM_176885.2
TAS2R38	NM_176817.4
TAS2R42	NM_181429.2
TAS2R43	NM_176884.2
TAS2R46	NM_176887.2
TAS2R50	NM_176890.2
TAS2R9	NM_023917.2
TAT	NM_000353.2
TAX1BP3	NM_014604.3
TAZ	NM_000116.4
TBC1D1	NM_001253912.1
TBC1D1	NM_015173.3
TBC1D10B	NM_015527.3
TBC1D20	NM_144628.3
TBC1D23	NM_001199198.2
TBC1D24	NM_001199107.1
TBC1D30	NM_015279.1
TBC1D32	NM_152730.5
TBC1D4	NM_014832.3
TBC1D7	NM_001143965.3
TBCD	NM_005993.4
TBCE	NM_003193.4
TBCK	NM_001163435.2
TBK1	NM_013254.3
TBL1XR1	NM_024665.4
TBL1Y	NM_033284.1
TBPL2	NM_199047.2
TBR1	NM_006593.2
TBX1	NM_080647.1
TBX10	NM_005995.4
TBX15	NM_152380.2
TBX18	NM_001080508.2
TBX19	NM_005149.2
TBX20	NM_001077653.2
TBX21	NM_013351.1
TBX22	NM_001109878.1
TBX3	NM_005996.3
TBX4	NM_018488.2
TBX5	NM_000192.3
TBX6	NM_004608.3
TBXA2R	NM_001060.5
TBXA2R	NM_201636.2
TBXAS1	NM_001061.4
TCAP	NM_003673.3
TCEB3	NM_003198.2
TCF12	NM_207036.1
TCF20	NM_005650.2
TCF21	NM_198392.2
TCF3	NM_003200.3
TCF4	NM_001083962.1
TCF4	NM_001243232.1
TCF7	NM_213648.3
TCF7L1	NM_031283.2
TCF7L2	NM_030756.4
TCHHL1	NM_001008536.1
TCIRG1	NM_006019.3
TCN1	NM_001062.3
TCN2	NM_000355.3
TCOF1	NM_001135243.1
TCP11L2	NM_152772.2
TCTEX1D2	NM_152773.4
TCTN1	NM_001082538.2
TCTN2	NM_024809.4
TCTN3	NM_015631.5
TDG	NM_003211.4
TDGF1	NM_003212.3
TDP1	NM_018319.3
TDP2	NM_016614.2
TDRD6	NM_001010870.2
TDRD7	NM_014290.2
TEAD1	NM_021961.5
TECPR2	NM_014844.3
TECR	NM_138501.5
TECTA	NM_005422.2
TEK	NM_000459.4
TEKT2	NM_014466.2
TEKT4	NM_144705.3
TEKT5	NM_144674.1
TELO2	NM_016111.3
TENM1	NM_001163278.1
TENM3	NM_001080477.2
TENM4	NM_001098816.2
TEP1	NM_007110.4
TERF2IP	NM_018975.3
TERT	NM_198253.2
TESK2	NM_007170.2
TET1	NM_030625.2
TET2	NM_001127208.2
TEX11	NM_001003811.1
TEX13B	NM_031273.2
TEX14	NM_198393.3
TEX15	NM_031271.3
TF	NM_001063.3
TFAM	NM_003201.2
TFAP2A	NM_003220.2
TFAP2B	NM_003221.3
TFAP2D	NM_172238.3
TFB1M	NM_016020.3
TFG	NM_006070.5
TFPI	NM_006287.4
TFR2	NM_003227.3
TFRC	NM_003234.2
TG	NM_003235.4
TGDS	NM_014305.3
TGFB1	NM_000660.5
TGFB2	NM_003238.3
TGFB3	NM_003239.3
TGFBI	NM_000358.2
TGFBR1	NM_004612.2
TGFBR2	NM_001024847.2
TGFBR2	NM_003242.5
TGFBR3	NM_003243.4
TGFBRAP1	NM_004257.5
TGIF1	NM_170695.3
TGIF1	NM_173208.2
TGM1	NM_000359.2
TGM2	NM_004613.2
TGM3	NM_003245.3
TGM4	NM_003241.3
TGM5	NM_201631.3
TGM6	NM_198994.2
TH	NM_199292.2
THADA	NM_022065.4
THAP1	NM_018105.2
THBD	NM_000361.2
THBS1	NM_003246.2
THBS2	NM_003247.3
THBS4	NM_003248.4
THOC2	NM_001081550.1
THOC6	NM_024339.3
THPO	NM_000460.3
THRA	NM_199334.3
THRAP3	NM_005119.3
THRB	NM_000461.4
THSD1	NM_018676.3
THSD7A	NM_015204.2
THSD7B	NM_001080427.1
TIA1	NM_022173.2
TICAM1	NM_182919.3
TIGD7	NM_033208.3
TIMM44	NM_006351.3
TIMM50	NM_001001563.1
TIMM8A	NM_004085.3
TIMP1	NM_003254.2
TIMP2	NM_003255.4
TIMP3	NM_000362.4
TINF2	NM_001099274.1
TIRAP	NM_148910.2
TJP2	NM_004817.3
TK2	NM_004614.4
TKT	NM_001135055.2
TLE6	NM_001143986.1
TLK1	NM_012290.4
TLK2	NM_006852.3
TLL1	NM_012464.4
TLN1	NM_006289.3
TLR1	NM_003263.3
TLR10	NM_030956.3
TLR2	NM_003264.3
TLR3	NM_003265.2
TLR4	NM_138554.4
TLR5	NM_003268.5
TLR6	NM_006068.4
TLR7	NM_016562.3
TLR8	NM_138636.5
TLR9	NM_017442.3
TM4SF19	NM_138461.3
TM6SF2	NM_001001524.2
TM9SF3	NM_020123.3
TMC1	NM_138691.2
TMC3	NM_001080532.1
TMC6	NM_007267.6
TMC8	NM_152468.4
TMCO1	NM_019026.4
TMEM106B	NM_018374.3
TMEM107	NM_032354.3
TMEM121	NM_025268.2
TMEM126A	NM_032273.3
TMEM126B	NM_018480.4
TMEM127	NM_017849.3
TMEM132A	NM_017870.3
TMEM132D	NM_133448.2
TMEM132E	NM_001304438.1
TMEM135	NM_022918.3
TMEM138	NM_016464.4
TMEM139	NM_153345.3
TMEM165	NM_018475.4
TMEM173	NM_198282.3
TMEM18	NM_152834.2
TMEM187	NM_003492.2
TMEM199	NM_152464.2
TMEM2	NM_013390.2
TMEM201	NM_001130924.2
TMEM216	NM_001173990.2
TMEM219	NM_001083613.1
TMEM230	NM_001009923.1
TMEM231	NM_001077416.2
TMEM237	NM_001044385.2
TMEM240	NM_001114748.1
TMEM38B	NM_018112.2
TMEM39A	NM_018266.2
TMEM43	NM_024334.2
TMEM47	NM_031442.3
TMEM5	NM_014254.2
TMEM63A	NM_014698.2
TMEM67	NM_153704.5
TMEM70	NM_017866.5
TMEM79	NM_032323.2
TMEM87B	NM_032824.2
TMEM8A	NM_021259.2
TMEM8C	NM_001080483.2
TMEM92	NM_001168215.1
TMEM98	NM_015544.2
TMIE	NM_147196.2
TMLHE	NM_018196.3
TMPO	NM_003276.2
TMPRSS11A	NM_182606.3
TMPRSS15	NM_002772.2
TMPRSS3	NM_024022.2
TMPRSS4	NM_019894.3
TMPRSS5	NM_030770.3
TMPRSS6	NM_153609.3
TMX3	NM_019022.3
TNC	NM_002160.3
TNFAIP1	NM_021137.4
TNFAIP3	NM_006290.3
TNFRSF10A	NM_003844.3
TNFRSF10B	NM_147187.2
TNFRSF11A	NM_003839.3
TNFRSF11B	NM_002546.3
TNFRSF13B	NM_012452.2
TNFRSF13C	NM_052945.3
TNFRSF14	NM_003820.3
TNFRSF1A	NM_001065.3
TNFRSF1B	NM_001066.2
TNFRSF21	NM_014452.4
TNFRSF4	NM_003327.3
TNFRSF6B	NM_003823.3
TNFSF11	NM_003701.3
TNFSF12	NM_003809.2
